log,total_params,trainable_params,trainable_percent,total_params_fmt,"# params
(%trainable)"
BPI12,1.0,1.0,100%,1.e+00,1.e+00(100%)
BPI17,1.0,1.0,100%,1.e+00,1.e+00(100%)
BPI12,1.0,1.0,100%,1.e+00,1.e+00(100%)
BPI17,1.0,1.0,100%,1.e+00,1.e+00(100%)
BPI12,1.0,1.0,100%,1.e+00,1.e+00(100%)
BPI17,1.0,1.0,100%,1.e+00,1.e+00(100%)
BPI20PrepaidTravelCosts,1.0,1.0,100%,1.e+00,1.e+00(100%)
BPI20RequestForPayment,1.0,1.0,100%,1.e+00,1.e+00(100%)
BPI20TravelPermitData,1.0,1.0,100%,1.e+00,1.e+00(100%)
BPI20TravelPermitData,1.0,1.0,100%,1.e+00,1.e+00(100%)
BPI20PrepaidTravelCosts,308674.0,308674.0,100%,3.1e+05,3.1e+05(100%)
BPI20PrepaidTravelCosts,308674.0,308674.0,100%,3.1e+05,3.1e+05(100%)
BPI12,1605149.0,1605149.0,100%,1.6e+06,1.6e+06(100%)
BPI20RequestForPayment,1133077.0,1133077.0,100%,1.1e+06,1.1e+06(100%)
BPI20TravelPermitData,222391.0,222391.0,100%,2.2e+05,2.2e+05(100%)
BPI17,1137982.0,1137982.0,100%,1.1e+06,1.1e+06(100%)
BPI12,338973.0,338973.0,100%,3.4e+05,3.4e+05(100%)
BPI17,339230.0,339230.0,100%,3.4e+05,3.4e+05(100%)
BPI20RequestForPayment,336917.0,336917.0,100%,3.4e+05,3.4e+05(100%)
BPI20PrepaidTravelCosts,935074.0,935074.0,100%,9.4e+05,9.4e+05(100%)
BPI20TravelPermitData,940471.0,940471.0,100%,9.4e+05,9.4e+05(100%)
BPI12,124497437.0,14233373.0,11%,1.2e+08,1.2e+08(11%)
BPI17,124498974.0,14234910.0,11%,1.2e+08,1.2e+08(11%)
BPI20PrepaidTravelCosts,162253858.0,37814050.0,23%,1.6e+08,1.6e+08(23%)
BPI20TravelPermitData,162286135.0,37846327.0,23%,1.6e+08,1.6e+08(23%)
BPI20RequestForPayment,124485141.0,7133205.0,5%,1.2e+08,1.2e+08(5%)
BPI17,1366065182.0,50489374.0,3%,1.4e+09,1.4e+09(3%)
BPI20PrepaidTravelCosts,1366081570.0,50505762.0,3%,1.4e+09,1.4e+09(3%)
BPI20TravelPermitData,1366167607.0,50591799.0,3%,1.4e+09,1.4e+09(3%)
BPI20RequestForPayment,1366028309.0,50452501.0,3%,1.4e+09,1.4e+09(3%)
BPI12,1315729437.0,50505757.0,3%,1.3e+09,1.3e+09(3%)
BPI17,1366065182.0,50489374.0,3%,1.4e+09,1.4e+09(3%)
BPI17,634873118.0,140840350.0,22%,6.3e+08,6.3e+08(22%)
BPI20TravelPermitData,634917943.0,140885175.0,22%,6.3e+08,6.3e+08(22%)
BPI20RequestForPayment,494085653.0,96789.0,0%,4.9e+08,4.9e+08(0%)
BPI12,494099997.0,29932317.0,6%,4.9e+08,4.9e+08(6%)
BPI20PrepaidTravelCosts,634880290.0,140847522.0,22%,6.3e+08,6.3e+08(22%)
BPI20TravelPermitData,1416429623.0,180615223.0,12%,1.4e+09,1.4e+09(12%)
BPI20RequestForPayment,1235935253.0,188437.0,0%,1.2e+09,1.2e+09(0%)
BPI12,1235968029.0,61038621.0,4%,1.2e+09,1.2e+09(4%)
BPI17,1416327198.0,180512798.0,12%,1.4e+09,1.4e+09(12%)
BPI20PrepaidTravelCosts,1416343586.0,180529186.0,12%,1.4e+09,1.4e+09(12%)
BPI20TravelPermitData,1416429623.0,180615223.0,12%,1.4e+09,1.4e+09(12%)
BPI17,2614519326.0,156132894.0,5%,2.6e+09,2.6e+09(5%)
BPI20PrepaidTravelCosts,2946805282.0,332463394.0,11%,2.9e+09,2.9e+09(11%)
BPI20TravelPermitData,2614634551.0,156248119.0,5%,2.6e+09,2.6e+09(5%)
BPI20RequestForPayment,2614477845.0,377877.0,0%,2.6e+09,2.6e+09(0%)
BPI12,2614514717.0,78271517.0,2%,2.6e+09,2.6e+09(2%)
