log,backbone,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,n_runs,total_params,trainable_params,mt_score_mean,mt_score_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h),Setting,lora_alpha,r,few_shot_k
BPI20TravelPermitData,llama32-1b,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1236074551.0,327735.0,2.082046900320946,0.0376983096539067,0.1257425131213337,0.0330898689245464,3.548135255376069,0.1527849791250915,1.0264710949894529,0.1054825302641264,1.1732686810966038,0.0565920328811538,0.1257425131213337,0.0330898689245464,3.548135255376069,0.1527849791250915,1.0221270550324175,0.1056155892829744,1.1716284330202569,0.0535271736066062,BPI20TPD,Llama3.2-1B,0.1257 ± 0.0331,3.5481 ± 0.1528,1.0265 ± 0.1055,1.1733 ± 0.0566,0.1257 ± 0.0331,3.5481 ± 0.1528,1.0221 ± 0.1056,1.1716 ± 0.0535,0.03465 ± 0.00006,FewShot-Freezing,,,8.0
BPI20TravelPermitData,llama32-1b,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1416429623.0,180615223.0,1.913895870047868,0.1026700107387643,0.0234825563445507,0.0321431272529754,4.213235349734648,0.4450860476585367,1.452680565992157,0.5291863244799782,1.6668635112777763,0.8525189813514866,0.0486569928990429,0.0295055198090656,3.911341199506835,0.1219062735988823,1.048625348813374,0.1226924576602266,1.217760647864723,0.0484503568802815,BPI20TPD,Llama3.2-1B,0.0235 ± 0.0321,4.2132 ± 0.4451,1.4527 ± 0.5292,1.6669 ± 0.8525,0.0487 ± 0.0295,3.9113 ± 0.1219,1.0486 ± 0.1227,1.2178 ± 0.0485,0.04942 ± 0.00007,FewShot-LoRA,512.0,256.0,8.0
BPI20TravelPermitData,llama32-1b,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1236074551.0,327735.0,2.643528031553928,0.0046421227513047,0.6130101883297314,0.0029454570620168,1.3260725316150426,0.053741732349137,0.9286400149935152,0.0225469749746886,0.9676456733602328,0.008529729584573,0.6130101883297314,0.0029454570620168,1.325562554171292,0.0527252776033285,0.9137626352160018,0.0250133409689345,0.965481292857694,0.008236323699557,BPI20TPD,Llama3.2-1B,0.613 ± 0.0029,1.3261 ± 0.0537,0.9286 ± 0.0225,0.9676 ± 0.0085,0.613 ± 0.0029,1.3256 ± 0.0527,0.9138 ± 0.025,0.9655 ± 0.0082,0.11803 ± 0.00023,Freezing,,,
BPI20TravelPermitData,llama32-1b,8.0,2048.0,10.0,"-1,-2",5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1236074551.0,121962551.0,2.692339751189332,0.0129122261784436,0.6640259339302254,0.0130889198823698,1.128485061395827,0.0778781897981069,1.0024105813879407,0.0669397890208938,1.0321577162063942,0.0539569611852233,0.675177523927138,0.0133287816445833,1.0443843026792758,0.0316190050819266,0.8660625579571348,0.0454189000129547,0.9052169354207062,0.0292950615498964,BPI20TPD,Llama3.2-1B,0.664 ± 0.0131,1.1285 ± 0.0779,1.0024 ± 0.0669,1.0322 ± 0.054,0.6752 ± 0.0133,1.0444 ± 0.0316,0.8661 ± 0.0454,0.9052 ± 0.0293,0.14525 ± 0.00023,"Freezing-[-1, -2]",,,
BPI20TravelPermitData,llama32-1b,8.0,2048.0,10.0,-1,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1236074551.0,61145143.0,2.6885199934015693,0.0105892700022548,0.6645569620253164,0.0068934539513382,1.145823741911664,0.0343385299610294,0.9000065489601449,0.0648379554029843,1.196265775893124,0.1490227603674711,0.6676813831429453,0.0030219527712256,1.1324324984666778,0.0263226796516832,0.8257542991579296,0.0147341348054668,0.9201289691612948,0.0241623647817274,BPI20TPD,Llama3.2-1B,0.6646 ± 0.0069,1.1458 ± 0.0343,0.9 ± 0.0648,1.1963 ± 0.149,0.6677 ± 0.003,1.1324 ± 0.0263,0.8258 ± 0.0147,0.9201 ± 0.0242,0.13073 ± 0.00041,Freezing-[-1],,,
BPI20TravelPermitData,llama32-1b,8.0,2048.0,10.0,"0,1",5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1236074551.0,121962551.0,2.6820930677967296,0.0100435104832425,0.6627786353812904,0.0083585903374166,1.195645630222001,0.0577693825642527,0.9923444825773368,0.1145816608811927,1.1850120106079065,0.1068564123826036,0.6647051559123185,0.0063149564169314,1.1781231769303842,0.0327532164764579,0.8287722249456525,0.0083448303991218,0.9239373623776416,0.0449671479816593,BPI20TPD,Llama3.2-1B,0.6628 ± 0.0084,1.1956 ± 0.0578,0.9923 ± 0.1146,1.185 ± 0.1069,0.6647 ± 0.0063,1.1781 ± 0.0328,0.8288 ± 0.0083,0.9239 ± 0.045,0.14487 ± 0.00005,"Freezing-[0, 1]",,,
BPI20TravelPermitData,llama32-1b,8.0,2048.0,10.0,0,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1236074551.0,61145143.0,2.685199030605827,0.0112682346644492,0.6570052485334981,0.0065184739169977,1.262368654308219,0.0548137930738826,0.8978540485366769,0.03969449344719,1.1154129410143363,0.0938475521930586,0.6571472676752084,0.00663745628039,1.2567544430117064,0.0477532319427175,0.8174661863420656,0.0278761353088968,0.9656302263649128,0.0278013561644309,BPI20TPD,Llama3.2-1B,0.657 ± 0.0065,1.2624 ± 0.0548,0.8979 ± 0.0397,1.1154 ± 0.0938,0.6571 ± 0.0066,1.2568 ± 0.0478,0.8175 ± 0.0279,0.9656 ± 0.0278,0.13174 ± 0.00027,Freezing-[0],,,
BPI20TravelPermitData,llama32-1b,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1326252087.0,90437687.0,2.756846019501707,0.0524353585296008,0.7156468045693115,0.045634492571669,0.9610697481815518,0.1256912233729856,1.0139023962871792,0.0720515951111977,0.9090881561651464,0.0216895189779101,0.7541154677369558,0.021496555655034,0.819879065840728,0.0550025099239754,0.8662655732925382,0.0431847339641076,0.8500591056778977,0.0159880147108368,BPI20TPD,Llama3.2-1B,0.7156 ± 0.0456,0.9611 ± 0.1257,1.0139 ± 0.0721,0.9091 ± 0.0217,0.7541 ± 0.0215,0.8199 ± 0.055,0.8663 ± 0.0432,0.8501 ± 0.016,0.17313 ± 0.00069,LoRA,256.0,128.0,
BPI20TravelPermitData,llama32-1b,8.0,2048.0,0.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1236074551.0,327735.0,1.6487207963572927,0.2453582953943089,0.0219820932386539,0.0248020964234123,5.178589476973748,0.3624978597467447,2.6241675063201257,1.9939932583793163,4.8864904216543765,4.473692784758212,0.0219820932386539,0.0248020964234123,5.178589476973748,0.3624978597467447,2.6241675063201257,1.9939932583793163,4.8864904216543765,4.473692784758212,BPI20TPD,Llama3.2-1B,0.022 ± 0.0248,5.1786 ± 0.3625,2.6242 ± 1.994,4.8865 ± 4.4737,0.022 ± 0.0248,5.1786 ± 0.3625,2.6242 ± 1.994,4.8865 ± 4.4737,0.00278 ± 0.00001,ZeroShot,,,
