Backbone_pretty,Mode,NA Acc.,RT MSE,NT MSE,Runtime (h),test_next_activity_acc_mean,test_next_activity_acc_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,runtime_h_mean,runtime_h_std
Gemma-2-2B,FS,0.1564 ± 0.1329,1.9724 ± 0.9117,2.2765 ± 0.5292,0.19087 ± 0.22362,0.15635720793883442,0.13294922531239167,1.9724060541751196,0.9117180741463996,2.2765122782547627,0.5292015096080176,0.19086762454045558,0.22361786908711592
Gemma-2-2B,LoRA,0.7148 ± 0.1233,1.3304 ± 0.6338,1.0818 ± 0.2905,1.14724 ± 1.55312,0.7147909097140266,0.12330423939059329,1.3303978297617678,0.633847503469797,1.0817693839212184,0.29045836453817936,1.1472358794870998,1.5531202040808625
Gemma-2-2B,ZS,0.0285 ± 0.0080,3.5300 ± 0.9929,2.8477 ± 0.7503,0.01264 ± 0.01554,0.028461106551852116,0.007985750872396462,3.5300241213961017,0.992910383557701,2.847707504878193,0.7503025729712595,0.012639475256677777,0.015536543286182486
GPT2,FS,0.1037 ± 0.0714,1.4582 ± 0.5590,1.4743 ± 0.2937,0.02887 ± 0.02606,0.10372739790978872,0.07142338474889269,1.4581878683935752,0.5589923629535752,1.4743356387160143,0.29367939388751235,0.028866920034711106,0.026057089389754866
GPT2,LoRA,0.7530 ± 0.0940,1.2693 ± 0.7926,1.0090 ± 0.2876,0.17209 ± 0.18623,0.7530338654290472,0.09403898619793727,1.2692810934116237,0.7926161308235714,1.009000979481121,0.2875973042768163,0.1720907377531611,0.1862300073918864
GPT2,ZS,0.0347 ± 0.0135,3.4008 ± 1.1187,2.7013 ± 0.9593,0.00188 ± 0.00158,0.03466734868406286,0.01353090477135956,3.4008284574707814,1.118697232984727,2.701324805258885,0.9593188840771911,0.0018823220011222222,0.0015778942196620679
GPT-Neo-1.3B,FS,0.0663 ± 0.0281,1.5081 ± 0.9413,1.5329 ± 0.3335,0.08824 ± 0.11482,0.06626276125802909,0.028113380101839548,1.5080776719681563,0.941254962174317,1.5329499029668165,0.3334701334682991,0.08823842564836668,0.11482197957398331
GPT-Neo-1.3B,LoRA,0.7149 ± 0.1090,1.2347 ± 0.8852,1.0952 ± 0.3293,0.52568 ± 0.74091,0.7149495986165282,0.10901422004084016,1.2346820892072867,0.8851683913479972,1.0951651942043898,0.3292773431140808,0.525677717620389,0.7409116352899198
GPT-Neo-1.3B,ZS,0.0303 ± 0.0187,2.8712 ± 0.8869,3.5171 ± 1.0764,0.00764 ± 0.01034,0.030329580327793516,0.018670002572886774,2.8712098902921084,0.886899635285405,3.517142714387144,1.076376718426003,0.007636319631277777,0.010340699934758859
Llama3.2-1B,FS,0.0796 ± 0.0477,1.7518 ± 0.6390,2.1401 ± 1.1659,0.08487 ± 0.10328,0.07960764705745285,0.04766174777352572,1.7517995620596718,0.6390309890056752,2.140148450328687,1.165944693927566,0.08487010472425556,0.10328444027658931
Llama3.2-1B,LoRA,0.7081 ± 0.1498,1.2049 ± 0.8409,1.0551 ± 0.3781,0.56411 ± 0.75062,0.7080955724051367,0.14981053180441306,1.2048826486622413,0.8409355062344229,1.0550844266473014,0.3781098928037811,0.5641069178594778,0.7506182575152237
Llama3.2-1B,ZS,0.0379 ± 0.0165,3.9165 ± 1.9265,4.0494 ± 1.3833,0.00579 ± 0.00746,0.03788118221173955,0.01652179634843197,3.916533895238449,1.9265261076298734,4.049362556217848,1.3833151015035108,0.005786280418244444,0.007460501873375799
Qwen2.5-0.5B,FS,0.0691 ± 0.0505,1.5253 ± 0.7139,1.5066 ± 0.1387,0.05994 ± 0.05286,0.06908822380123546,0.05047161718219507,1.5253457027361164,0.7138778122409708,1.506608162464834,0.13871195718445406,0.05993502116203334,0.052856482474450205
Qwen2.5-0.5B,LoRA,0.7530 ± 0.1118,1.1546 ± 0.8045,0.9457 ± 0.2951,0.41150 ± 0.42985,0.7529588034892354,0.11184717476781618,1.1546064961409397,0.8044539474917884,0.9456612773909903,0.2951101382199936,0.41149939090898335,0.4298523863179057
Qwen2.5-0.5B,ZS,0.0400 ± 0.0175,2.8862 ± 0.1644,2.9725 ± 0.7211,0.00317 ± 0.00329,0.039973121511041126,0.017508742733294783,2.8861911294404523,0.16442454503816264,2.972506504706094,0.7211425013110633,0.0031693996449,0.0032930278470280723
